title,runtimegenre(s),directors,writer(s),actor(s),rating(s),number of rating(s)
The Shawshank Redemption,2h 22min,Drama,Frank Darabont,Stephen King; Frank Darabont,Tim Robbins; Morgan Freeman; Bob Gunton,9.3,"2,012,386"
The Matrix,2h 16min,Action; Sci-Fi,Lana Wachowski; Lilly Wachowski,Lilly Wachowski; Lana Wachowski,Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss,8.7,"1,443,780"
The Lord of the Rings: The Two Towers,2h 59min,Fantasy; Drama; Adventure,Peter Jackson,J.R.R. Tolkien; Fran Walsh,Elijah Wood; Ian McKellen; Viggo Mortensen,8.7,"1,294,942"
Back to the Future,1h 56min,Sci-Fi; Adventure; Comedy,Robert Zemeckis,Robert Zemeckis; Bob Gale,Michael J. Fox; Christopher Lloyd; Lea Thompson,8.5,"891,256"
Citizen Kane,1h 59min,Drama; Mystery,Orson Welles,Herman J. Mankiewicz; Orson Welles,Orson Welles; Joseph Cotten; Dorothy Comingore,8.4,"351,474"
A Wednesday,1h 44min,Drama; Crime; Mystery,Neeraj Pandey,Neeraj Pandey; Neeraj Pandey,Anupam Kher; Naseeruddin Shah; Jimmy Sheirgill,8.2,"65,704"
The Kid,1h 8min,Drama; Family; Comedy,Charles Chaplin,Charles Chaplin,Charles Chaplin; Edna Purviance; Jackie Coogan,8.3,"90,928"
The Wizard of Oz,1h 42min,Fantasy; Family; Adventure,Victor Fleming; George Cukor,Noel Langley; Florence Ryerson,Judy Garland; Frank Morgan; Ray Bolger,8.0,"340,847"
Into the Wild,2h 28min,Drama; Adventure; Biography,Sean Penn,Sean Penn; Jon Krakauer,Emile Hirsch; Vince Vaughn; Catherine Keener,8.1,"508,802"
The Big Lebowski,1h 57min,Crime; Comedy,Joel Coen; Ethan Coen,Ethan Coen; Joel Coen,Jeff Bridges; John Goodman; Julianne Moore,8.1,"636,927"
Mr. Smith Goes to Washington,2h 9min,Drama; Comedy,Frank Capra,Sidney Buchman; Lewis R. Foster,James Stewart; Jean Arthur; Claude Rains,8.2,"94,686"
North by Northwest,2h 16min,Thriller; Adventure; Mystery,Alfred Hitchcock,Ernest Lehman,Cary Grant; Eva Marie Saint; James Mason,8.3,"261,646"
Coco,1h 45min,Adventure; Comedy; Animation,Lee Unkrich; Adrian Molina,Lee Unkrich; Jason Katz,Anthony Gonzalez; Gael García Bernal; Benjamin Bratt,8.4,"231,181"
Babam ve Oglum,1h 48min,Drama; Family,Çagan Irmak,Çagan Irmak,Çetin Tekindor; Fikret Kuskan; Hümeyra,8.4,"61,558"
Apocalypse Now,2h 27min,War; Drama,Francis Ford Coppola,John Milius; Francis Ford Coppola,Martin Sheen; Marlon Brando; Robert Duvall,8.5,"527,739"
WALL·E,1h 38min,Family; Adventure; Animation,Andrew Stanton,Andrew Stanton; Pete Docter,Ben Burtt; Elissa Knight; Jeff Garlin,8.4,"869,541"
The Treasure of the Sierra Madre,2h 6min,Drama; Western; Adventure,John Huston,John Huston; B. Traven,Humphrey Bogart; Walter Huston; Tim Holt,8.3,"97,749"
Faa yeung nin wa,1h 38min,Drama; Romance,Kar-Wai Wong,Kar-Wai Wong,Tony Chiu-Wai Leung; Maggie Cheung; Ping Lam Siu,8.1,"100,377"
Léon,1h 50min,Drama; Crime; Thriller,Luc Besson,Luc Besson,Jean Reno; Gary Oldman; Natalie Portman,8.6,"882,588"
Finding Nemo,1h 40min,Adventure; Comedy; Animation,Andrew Stanton; Lee Unkrich,Andrew Stanton; Andrew Stanton,Albert Brooks; Ellen DeGeneres; Alexander Gould,8.1,"833,970"
Hotaru no haka,1h 29min,War; Drama; Animation,Isao Takahata,Akiyuki Nosaka; Isao Takahata,Tsutomu Tatsumi; Ayano Shiraishi; Akemi Yamaguchi,8.5,"184,632"
The Usual Suspects,1h 46min,Thriller; Crime; Mystery,Bryan Singer,Christopher McQuarrie,Kevin Spacey; Gabriel Byrne; Chazz Palminteri,8.6,"873,419"
2001: A Space Odyssey,2h 29min,Sci-Fi; Adventure,Stanley Kubrick,Stanley Kubrick; Arthur C. Clarke,Keir Dullea; Gary Lockwood; William Sylvester,8.3,"519,676"
The Sixth Sense,1h 47min,Drama; Thriller; Mystery,M. Night Shyamalan,M. Night Shyamalan,Bruce Willis; Haley Joel Osment; Toni Collette,8.1,"817,869"
Stand by Me,1h 29min,Drama; Adventure,Rob Reiner,Stephen King; Raynold Gideon,Wil Wheaton; River Phoenix; Corey Feldman,8.1,"323,475"
A Star Is Born,2h 16min,Drama; Music; Romance,Bradley Cooper,Eric Roth; Bradley Cooper,Lady Gaga; Bradley Cooper; Sam Elliott,8.3,"83,777"
Groundhog Day,1h 41min,Fantasy; Comedy; Romance,Harold Ramis,Danny Rubin; Harold Ramis,Bill Murray; Andie MacDowell; Chris Elliott,8.0,"523,269"
To Kill a Mockingbird,2h 9min,Drama; Crime,Robert Mulligan,Harper Lee; Horton Foote,Gregory Peck; John Megna; Frank Overton,8.3,"262,157"
The Intouchables,1h 52min,Comedy; Drama; Biography,Olivier Nakache; Éric Toledano,Olivier Nakache; Philippe Pozzo di Borgo,François Cluzet; Omar Sy; Anne Le Ny,8.5,"640,914"
Forrest Gump,2h 22min,Drama; Romance,Robert Zemeckis,Winston Groom; Eric Roth,Tom Hanks; Robin Wright; Gary Sinise,8.8,"1,532,856"
Amores perros,2h 34min,Drama; Thriller,Alejandro G. Iñárritu,Guillermo Arriaga,Emilio Echevarría; Gael García Bernal; Goya Toledo,8.1,"201,785"
Taxi Driver,1h 54min,Drama; Crime,Martin Scorsese,Paul Schrader,Robert De Niro; Jodie Foster; Cybill Shepherd,8.3,"611,438"
Mad Max: Fury Road,2h,Action; Sci-Fi; Adventure,George Miller,George Miller; Brendan McCarthy,Tom Hardy; Charlize Theron; Nicholas Hoult,8.1,"742,315"
