Country,Region,Arable (%),Agriculture
Afghanistan ,ASIA (EX. NEAR EAST)         ,12.13,0.38
Albania ,EASTERN EUROPE                     ,21.09,0.232
Algeria ,NORTHERN AFRICA                    ,3.22,0.101
Angola ,SUB-SAHARAN AFRICA                 ,2.41,0.096
Anguilla ,LATIN AMER. & CARIB    ,0.0,0.04
Antigua & Barbuda ,LATIN AMER. & CARIB    ,18.18,0.038
Argentina ,LATIN AMER. & CARIB    ,12.31,0.095
Armenia ,C.W. OF IND. STATES ,17.55,0.239
Aruba ,LATIN AMER. & CARIB    ,10.53,0.004
Australia ,OCEANIA                            ,6.55,0.038
Austria ,WESTERN EUROPE                     ,16.91,0.018
Azerbaijan ,C.W. OF IND. STATES ,19.63,0.141
"Bahamas, The ",LATIN AMER. & CARIB    ,0.8,0.03
Bahrain ,NEAR EAST                          ,2.82,0.005
Bangladesh ,ASIA (EX. NEAR EAST)         ,62.11,0.199
Barbados ,LATIN AMER. & CARIB    ,37.21,0.06
Belarus ,C.W. OF IND. STATES ,29.55,0.093
Belgium ,WESTERN EUROPE                     ,23.28,0.01
Belize ,LATIN AMER. & CARIB    ,2.85,0.142
Benin ,SUB-SAHARAN AFRICA                 ,18.08,0.316
Bermuda ,NORTHERN AMERICA                   ,20.0,0.01
Bhutan ,ASIA (EX. NEAR EAST)         ,3.09,0.258
Bolivia ,LATIN AMER. & CARIB    ,2.67,0.128
Bosnia & Herzegovina ,EASTERN EUROPE                     ,13.6,0.142
Botswana ,SUB-SAHARAN AFRICA                 ,0.65,0.024
Brazil ,LATIN AMER. & CARIB    ,6.96,0.084
British Virgin Is. ,LATIN AMER. & CARIB    ,20.0,0.018
Brunei ,ASIA (EX. NEAR EAST)         ,0.57,0.036
Bulgaria ,EASTERN EUROPE                     ,40.02,0.093
Burkina Faso ,SUB-SAHARAN AFRICA                 ,14.43,0.322
Burma ,ASIA (EX. NEAR EAST)         ,15.19,0.564
Burundi ,SUB-SAHARAN AFRICA                 ,35.05,0.463
Cambodia ,ASIA (EX. NEAR EAST)         ,20.96,0.35
Cameroon ,SUB-SAHARAN AFRICA                 ,12.81,0.448
Canada ,NORTHERN AMERICA                   ,4.96,0.022
Cape Verde ,SUB-SAHARAN AFRICA                 ,9.68,0.121
Cayman Islands ,LATIN AMER. & CARIB    ,3.85,0.014
Central African Rep. ,SUB-SAHARAN AFRICA                 ,3.1,0.55
Chad ,SUB-SAHARAN AFRICA                 ,2.86,0.335
Chile ,LATIN AMER. & CARIB    ,2.65,0.06
China ,ASIA (EX. NEAR EAST)         ,15.4,0.125
Colombia ,LATIN AMER. & CARIB    ,2.42,0.125
Comoros ,SUB-SAHARAN AFRICA                 ,35.87,0.4
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA                 ,2.96,0.55
"Congo, Repub. of the ",SUB-SAHARAN AFRICA                 ,0.51,0.062
Cook Islands ,OCEANIA                            ,17.39,0.151
Costa Rica ,LATIN AMER. & CARIB    ,4.41,0.088
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,9.75,0.279
Croatia ,EASTERN EUROPE                     ,26.09,0.07
Cuba ,LATIN AMER. & CARIB    ,33.05,0.055
Cyprus ,NEAR EAST                          ,7.79,0.037
Czech Republic ,EASTERN EUROPE                     ,39.8,0.034
Denmark ,WESTERN EUROPE                     ,54.02,0.018
Djibouti ,SUB-SAHARAN AFRICA                 ,0.04,0.179
Dominica ,LATIN AMER. & CARIB    ,6.67,0.177
Dominican Republic ,LATIN AMER. & CARIB    ,22.65,0.112
East Timor ,ASIA (EX. NEAR EAST)         ,4.71,0.085
Ecuador ,LATIN AMER. & CARIB    ,5.85,0.07
Egypt ,NORTHERN AFRICA                    ,2.87,0.149
El Salvador ,LATIN AMER. & CARIB    ,31.85,0.099
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,4.63,0.03
Eritrea ,SUB-SAHARAN AFRICA                 ,4.95,0.102
Estonia ,BALTICS                            ,16.04,0.04
Ethiopia ,SUB-SAHARAN AFRICA                 ,10.71,0.475
Faroe Islands ,WESTERN EUROPE                     ,2.14,0.27
Fiji ,OCEANIA                            ,10.95,0.089
Finland ,WESTERN EUROPE                     ,7.19,0.028
France ,WESTERN EUROPE                     ,33.53,0.022
French Guiana ,LATIN AMER. & CARIB    ,0.14,0.066
French Polynesia ,OCEANIA                            ,0.82,0.031
Gabon ,SUB-SAHARAN AFRICA                 ,1.26,0.061
"Gambia, The ",SUB-SAHARAN AFRICA                 ,25.0,0.308
Gaza Strip ,NEAR EAST                          ,28.95,0.03
Georgia ,C.W. OF IND. STATES ,11.44,0.172
Germany ,WESTERN EUROPE                     ,33.85,0.009
Ghana ,SUB-SAHARAN AFRICA                 ,16.26,0.366
Greece ,WESTERN EUROPE                     ,21.1,0.054
Grenada ,LATIN AMER. & CARIB    ,5.88,0.054
Guadeloupe ,LATIN AMER. & CARIB    ,11.24,0.15
Guatemala ,LATIN AMER. & CARIB    ,12.54,0.227
Guinea ,SUB-SAHARAN AFRICA                 ,3.63,0.237
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,10.67,0.62
Guyana ,LATIN AMER. & CARIB    ,2.44,0.37
Haiti ,LATIN AMER. & CARIB    ,28.3,0.28
Honduras ,LATIN AMER. & CARIB    ,9.55,0.139
Hong Kong ,ASIA (EX. NEAR EAST)         ,5.05,0.001
Hungary ,EASTERN EUROPE                     ,50.09,0.037
Iceland ,WESTERN EUROPE                     ,0.07,0.086
India ,ASIA (EX. NEAR EAST)         ,54.4,0.186
Indonesia ,ASIA (EX. NEAR EAST)         ,11.32,0.134
Iran ,ASIA (EX. NEAR EAST)         ,8.72,0.116
Iraq ,NEAR EAST                          ,13.15,0.073
Ireland ,WESTERN EUROPE                     ,15.2,0.05
Isle of Man ,WESTERN EUROPE                     ,9.0,0.01
Israel ,NEAR EAST                          ,16.39,0.026
Italy ,WESTERN EUROPE                     ,27.79,0.021
Jamaica ,LATIN AMER. & CARIB    ,16.07,0.049
Japan ,ASIA (EX. NEAR EAST)         ,12.19,0.017
Jersey ,WESTERN EUROPE                     ,0.0,0.05
Jordan ,NEAR EAST                          ,2.67,0.033
Kazakhstan ,C.W. OF IND. STATES ,7.98,0.067
Kenya ,SUB-SAHARAN AFRICA                 ,8.08,0.163
Kiribati ,OCEANIA                            ,2.74,0.089
"Korea, North ",ASIA (EX. NEAR EAST)         ,20.76,0.3
"Korea, South ",ASIA (EX. NEAR EAST)         ,17.18,0.033
Kuwait ,NEAR EAST                          ,0.73,0.004
Kyrgyzstan ,C.W. OF IND. STATES ,7.3,0.353
Laos ,ASIA (EX. NEAR EAST)         ,3.8,0.455
Latvia ,BALTICS                            ,29.67,0.04
Lebanon ,NEAR EAST                          ,16.62,0.12
Lesotho ,SUB-SAHARAN AFRICA                 ,10.87,0.163
Liberia ,SUB-SAHARAN AFRICA                 ,3.95,0.769
Libya ,NORTHERN AFRICA                    ,1.03,0.076
Liechtenstein ,WESTERN EUROPE                     ,25.0,0.06
Lithuania ,BALTICS                            ,45.22,0.055
Luxembourg ,WESTERN EUROPE                     ,23.28,0.01
Macau ,ASIA (EX. NEAR EAST)         ,0.0,0.001
Macedonia ,EASTERN EUROPE                     ,22.26,0.118
Madagascar ,SUB-SAHARAN AFRICA                 ,5.07,0.276
Malawi ,SUB-SAHARAN AFRICA                 ,23.38,0.342
Malaysia ,ASIA (EX. NEAR EAST)         ,5.48,0.084
Maldives ,ASIA (EX. NEAR EAST)         ,13.33,0.2
Mali ,SUB-SAHARAN AFRICA                 ,3.82,0.45
Malta ,WESTERN EUROPE                     ,28.13,0.03
Marshall Islands ,OCEANIA                            ,16.67,0.317
Martinique ,LATIN AMER. & CARIB    ,10.38,0.06
Mauritania ,SUB-SAHARAN AFRICA                 ,0.48,0.25
Mauritius ,SUB-SAHARAN AFRICA                 ,49.26,0.059
Mexico ,LATIN AMER. & CARIB    ,12.99,0.038
"Micronesia, Fed. St. ",OCEANIA                            ,5.71,0.289
Moldova ,C.W. OF IND. STATES ,55.3,0.213
Monaco ,WESTERN EUROPE                     ,0.0,0.17
